song_id,title,artist_id,genre,duration,release_date
D0001,Rate recent,D_A0001,Jazz,120,2023-04-22
D0002,Option stand,D_A0001,EDM,210,2023-12-29
D0003,Note country,D_A0001,Classical,295,2024-01-16
D0004,Soon interest race wonder,D_A0001,EDM,222,2024-05-08
D0005,Science,D_A0001,Rock,340,2021-07-19
D0006,Deal really nothing,D_A0002,Jazz,328,2021-03-13
D0007,To especially fast,D_A0002,Classical,360,2022-01-31
D0008,Bag for,D_A0002,Rock,222,2023-05-23
D0009,Pull alone perform,D_A0002,Rock,145,2022-05-28
D0010,Kind hold,D_A0002,EDM,232,2022-06-01
D0011,Throw easy put,D_A0003,Classical,251,2021-05-29
D0012,Action place,D_A0003,Classical,315,2021-06-24
D0013,Computer fear,D_A0003,Pop,210,2023-03-23
D0014,Research protect body,D_A0003,Hip-Hop,323,2025-06-14
D0015,Almost play,D_A0003,Jazz,344,2022-03-27
D0016,Example thing tough,D_A0004,Pop,135,2021-11-19
D0017,Deep respond green,D_A0004,Classical,242,2022-09-19
D0018,Real could upon,D_A0004,Hip-Hop,192,2024-04-17
D0019,Maintain mean,D_A0004,EDM,244,2023-06-13
D0020,Bad although and,D_A0004,Rock,341,2023-02-12
D0021,Expect form develop heart,D_A0005,EDM,211,2022-07-25
D0022,Develop red,D_A0005,Rock,169,2022-05-18
D0023,Want plant ago sometimes,D_A0005,Jazz,127,2023-05-01
D0024,Newspaper consider cell,D_A0005,Jazz,302,2021-07-29
D0025,Business fill certain,D_A0005,Classical,196,2024-02-17
D0026,Education candidate,D_A0006,Jazz,128,2024-08-09
D0027,Outside,D_A0006,EDM,143,2024-03-31
D0028,Detail find morning,D_A0006,Classical,248,2025-04-07
D0029,And big responsibility,D_A0006,Pop,175,2024-11-13
D0030,List daughter free,D_A0006,Jazz,187,2021-08-07
D0031,Memory however rather,D_A0007,Pop,161,2025-07-22
D0032,Wind contain,D_A0007,EDM,245,2023-12-06
D0033,Long soldier,D_A0007,Rock,293,2023-09-22
D0034,Land truth,D_A0007,Classical,196,2024-05-07
D0035,Son,D_A0007,Classical,345,2024-05-23
D0036,Single official hair,D_A0008,Rock,248,2024-01-16
D0037,Raise wind magazine,D_A0008,EDM,358,2024-11-16
D0038,List school,D_A0008,Hip-Hop,191,2021-09-27
D0039,Case at kid,D_A0008,EDM,318,2022-04-03
D0040,Major short,D_A0008,Classical,341,2021-12-07
D0041,Hair majority economy,D_A0009,Jazz,174,2026-02-21
D0042,Little down,D_A0009,Hip-Hop,345,2022-06-11
D0043,Answer series,D_A0009,Pop,201,2025-10-04
D0044,Evidence program,D_A0009,Classical,319,2026-01-24
D0045,Month message,D_A0009,Hip-Hop,230,2021-11-17
D0046,Level condition,D_A0010,Jazz,262,2023-01-10
D0047,Mr type consumer central,D_A0010,Hip-Hop,237,2021-09-03
D0048,Worry him arm,D_A0010,EDM,231,2024-02-28
D0049,Trip,D_A0010,Classical,250,2021-07-02
D0050,Thing during policy religious,D_A0010,Rock,336,2023-07-03
