stream_id,user_id,song_id,timestamp,duration_listened
D_STR00001,D_U0010,D0023,2026-02-07 19:46:30.736943,48
D_STR00002,D_U0018,D0045,2026-02-10 08:18:56.955997,110
D_STR00003,D_U0070,D0049,2026-02-22 05:50:46.817171,179
D_STR00004,D_U0067,D0028,2026-03-02 20:54:04.069063,224
D_STR00005,D_U0022,D0032,2026-02-16 02:04:51.596337,38
D_STR00006,D_U0006,D0029,2026-02-27 10:01:02.810600,102
D_STR00007,D_U0072,D0030,2026-02-17 00:57:13.831346,58
D_STR00008,D_U0072,D0046,2026-03-04 16:19:30.564983,230
D_STR00009,D_U0098,D0039,2026-02-12 23:59:13.616155,147
D_STR00010,D_U0046,D0038,2026-02-08 23:30:57.093210,68
D_STR00011,D_U0027,D0031,2026-02-27 21:31:25.725598,93
D_STR00012,D_U0064,D0016,2026-02-18 17:32:41.589878,93
D_STR00013,D_U0096,D0030,2026-02-07 02:49:53.861221,17
D_STR00014,D_U0066,D0048,2026-02-17 10:10:37.292962,57
D_STR00015,D_U0026,D0017,2026-02-15 13:53:08.000387,102
D_STR00016,D_U0019,D0047,2026-03-03 03:48:58.528094,129
D_STR00017,D_U0044,D0047,2026-02-10 05:08:19.278066,208
D_STR00018,D_U0037,D0028,2026-02-23 17:25:45.635694,237
D_STR00019,D_U0047,D0021,2026-02-10 19:03:45.901386,153
D_STR00020,D_U0074,D0033,2026-02-18 20:40:55.315481,192
D_STR00021,D_U0001,D0039,2026-02-12 00:59:17.874099,159
D_STR00022,D_U0050,D0034,2026-02-08 18:54:12.306742,42
D_STR00023,D_U0078,D0033,2026-02-19 04:08:18.284833,266
D_STR00024,D_U0004,D0048,2026-02-18 13:49:55.081143,45
D_STR00025,D_U0008,D0048,2026-02-08 01:10:16.105319,142
D_STR00026,D_U0090,D0035,2026-02-17 16:31:18.372069,233
D_STR00027,D_U0017,D0031,2026-02-26 17:38:52.794064,154
D_STR00028,D_U0033,D0030,2026-02-08 17:31:16.675407,132
D_STR00029,D_U0053,D0024,2026-02-18 06:01:58.065082,90
D_STR00030,D_U0089,D0039,2026-03-04 04:43:02.314445,61
D_STR00031,D_U0008,D0030,2026-02-12 22:09:04.162741,146
D_STR00032,D_U0034,D0042,2026-03-05 18:21:51.022713,156
D_STR00033,D_U0074,D0043,2026-02-11 13:28:52.380075,134
D_STR00034,D_U0052,D0045,2026-03-04 05:45:46.443300,143
D_STR00035,D_U0040,D0022,2026-02-10 16:57:05.881142,166
D_STR00036,D_U0080,D0012,2026-02-12 19:54:17.316618,57
D_STR00037,D_U0001,D0046,2026-02-18 12:28:19.506648,81
D_STR00038,D_U0057,D0047,2026-02-12 15:01:23.106570,182
