song_id,title,artist,genre,duration,release_date
D0001,Than when now,Amy Oconnor,Rock,174,2023-07-30
D0002,This simple clearly,Amy Oconnor,Pop,291,2023-06-26
D0003,Modern,Amy Oconnor,EDM,177,2025-06-30
D0004,Their,Amy Oconnor,Hip-Hop,211,2022-02-26
D0005,Sort serious several,Amy Oconnor,Rock,246,2023-12-06
D0006,Blood,Brittney Cherry,Pop,350,2021-07-23
D0007,Common country,Brittney Cherry,Rock,313,2025-05-13
D0008,Perform health be,Brittney Cherry,Hip-Hop,339,2023-07-28
D0009,How way glass,Brittney Cherry,Jazz,215,2023-07-19
D0010,Choice another challenge hospital,Brittney Cherry,Pop,270,2021-10-13
D0011,Usually oil she according,Charles Carr,Classical,292,2024-01-19
D0012,Purpose move eight,Charles Carr,Pop,304,2022-05-15
D0013,Education leader event,Charles Carr,Pop,194,2021-07-13
D0014,Say born direction policy,Charles Carr,Rock,313,2021-09-06
D0015,Building,Charles Carr,Jazz,275,2023-10-16
D0016,Operation station degree,Sonya Garcia,Classical,283,2023-03-01
D0017,Recent PM read,Sonya Garcia,Jazz,121,2021-08-22
D0018,Family threat table,Sonya Garcia,Hip-Hop,304,2024-03-31
D0019,Customer base fish,Sonya Garcia,Hip-Hop,338,2024-12-19
D0020,Society add,Sonya Garcia,Rock,160,2024-12-19
D0021,Religious certainly read,Joshua Carter,EDM,290,2022-04-05
D0022,Leg card,Joshua Carter,Jazz,228,2023-08-11
D0023,Eight can,Joshua Carter,Hip-Hop,246,2021-04-04
D0024,Treat record,Joshua Carter,Rock,355,2024-10-11
D0025,Hour nation small,Joshua Carter,Jazz,214,2023-05-09
D0026,Institution record,Mark Douglas,EDM,284,2025-10-15
D0027,Five theory,Mark Douglas,Pop,246,2024-03-24
D0028,See deal family firm,Mark Douglas,Rock,290,2024-04-11
D0029,Fly light,Mark Douglas,Classical,344,2025-11-23
D0030,Bed base office,Mark Douglas,Jazz,158,2025-01-02
D0031,Work than series,Nicole Miller,Classical,153,2024-09-26
D0032,Health deep,Nicole Miller,Rock,300,2024-12-22
D0033,Have air,Nicole Miller,Pop,176,2022-01-07
D0034,Size by song,Nicole Miller,Classical,236,2021-03-09
D0035,Clearly very team,Nicole Miller,Jazz,326,2021-03-03
D0036,Poor onto garden,April Jimenez,Rock,344,2021-05-05
D0037,Surface,April Jimenez,EDM,154,2021-11-06
D0038,Mind drop account,April Jimenez,Pop,194,2024-04-26
D0039,Easy quite result,April Jimenez,Jazz,349,2024-02-17
D0040,Suffer few analysis,April Jimenez,Hip-Hop,137,2022-10-30
D0041,Couple interesting,Daniel Fox,EDM,257,2025-06-03
D0042,Team that,Daniel Fox,Pop,273,2025-03-06
D0043,Site per cut,Daniel Fox,Rock,162,2023-09-01
D0044,Draw property because,Daniel Fox,Hip-Hop,340,2022-09-21
D0045,Free air,Daniel Fox,Pop,201,2024-03-20
D0046,Happy actually,Melanie Berry,Hip-Hop,193,2025-08-22
D0047,Thought sense,Melanie Berry,Hip-Hop,295,2024-09-11
D0048,Consider order,Melanie Berry,Pop,275,2022-02-09
D0049,Join everybody chair,Melanie Berry,EDM,122,2021-12-28
D0050,Collection international clear,Melanie Berry,Hip-Hop,338,2024-05-14
