stream_id,user_id,song_id,timestamp,duration_listened
D_STR00001,D_U0094,D0045,2026-02-18 07:03:20.727389,93
D_STR00002,D_U0049,D0016,2026-02-12 17:26:14.138963,140
D_STR00003,D_U0078,D0014,2026-02-27 04:37:59.280275,90
D_STR00004,D_U0030,D0032,2026-02-21 19:15:39.365576,36
D_STR00005,D_U0004,D0042,2026-02-08 15:50:17.216341,217
D_STR00006,D_U0032,D0029,2026-02-12 11:37:50.158636,131
D_STR00007,D_U0032,D0017,2026-02-19 02:03:14.574471,22
D_STR00008,D_U0054,D0046,2026-02-27 03:48:09.649632,21
D_STR00009,D_U0074,D0033,2026-02-01 12:44:18.746614,98
D_STR00010,D_U0040,D0047,2026-02-22 15:36:15.992627,61
D_STR00011,D_U0066,D0029,2026-02-09 06:30:38.135677,304
D_STR00012,D_U0077,D0048,2026-02-07 11:47:15.523642,215
D_STR00013,D_U0073,D0017,2026-02-04 22:07:57.880639,13
D_STR00014,D_U0077,D0034,2026-02-15 22:21:06.112338,133
D_STR00015,D_U0039,D0045,2026-02-25 05:53:09.685373,129
D_STR00016,D_U0051,D0027,2026-02-03 18:23:43.377084,160
D_STR00017,D_U0095,D0031,2026-02-07 05:50:38.630471,100
D_STR00018,D_U0021,D0048,2026-03-02 07:13:30.533821,155
D_STR00019,D_U0097,D0044,2026-02-10 04:27:41.938563,297
D_STR00020,D_U0036,D0049,2026-02-17 19:35:49.140985,60
D_STR00021,D_U0070,D0040,2026-02-14 12:57:35.738199,74
D_STR00022,D_U0070,D0050,2026-02-18 13:31:54.086362,228
D_STR00023,D_U0094,D0025,2026-02-07 08:36:02.849839,118
D_STR00024,D_U0097,D0029,2026-02-08 03:19:37.610101,326
D_STR00025,D_U0080,D0020,2026-02-19 22:01:11.240027,35
D_STR00026,D_U0002,D0034,2026-02-08 23:59:10.442398,168
D_STR00027,D_U0063,D0034,2026-02-22 15:09:59.018376,26
D_STR00028,D_U0012,D0024,2026-02-23 17:22:53.045288,136
D_STR00029,D_U0013,D0022,2026-02-20 09:16:39.447761,41
D_STR00030,D_U0069,D0029,2026-02-04 19:34:10.549378,69
D_STR00031,D_U0015,D0024,2026-02-13 06:40:50.400224,252
D_STR00032,D_U0024,D0037,2026-02-13 02:33:07.852652,61
D_STR00033,D_U0021,D0045,2026-02-14 12:34:49.127376,48
D_STR00034,D_U0044,D0018,2026-02-24 20:42:03.959317,299
D_STR00035,D_U0039,D0045,2026-02-04 11:10:22.271050,133
D_STR00036,D_U0043,D0031,2026-03-01 17:26:23.548797,90
D_STR00037,D_U0019,D0028,2026-02-23 01:19:19.168497,90
D_STR00038,D_U0022,D0020,2026-02-21 08:10:17.020484,134
D_STR00039,D_U0001,D0049,2026-02-03 15:55:14.124862,9
D_STR00040,D_U0014,D0028,2026-01-31 21:35:32.034676,230
D_STR00041,D_U0067,D0037,2026-02-25 13:14:35.001989,10
D_STR00042,D_U0086,D0044,2026-02-27 13:02:21.437757,85
D_STR00043,D_U0088,D0031,2026-02-05 00:23:31.109505,119
