song_id,title,artist,genre,duration,release_date
S0001,Than when now,Amy Oconnor,Rock,174,2023-07-30
S0002,This simple clearly,Amy Oconnor,Pop,291,2023-06-26
S0003,Modern,Amy Oconnor,EDM,177,2025-06-30
S0004,Their,Amy Oconnor,Hip-Hop,211,2022-02-26
S0005,Sort serious several,Amy Oconnor,Rock,246,2023-12-06
S0006,Blood,Brittney Cherry,Pop,350,2021-07-23
S0007,Common country,Brittney Cherry,Rock,313,2025-05-13
S0008,Perform health be,Brittney Cherry,Hip-Hop,339,2023-07-28
S0009,How way glass,Brittney Cherry,Jazz,215,2023-07-19
S0010,Choice another challenge hospital,Brittney Cherry,Pop,270,2021-10-13
S0011,Usually oil she according,Charles Carr,Classical,292,2024-01-19
S0012,Purpose move eight,Charles Carr,Pop,304,2022-05-15
S0013,Education leader event,Charles Carr,Pop,194,2021-07-13
S0014,Say born direction policy,Charles Carr,Rock,313,2021-09-06
S0015,Building,Charles Carr,Jazz,275,2023-10-16
S0016,Operation station degree,Sonya Garcia,Classical,283,2023-03-01
S0017,Recent PM read,Sonya Garcia,Jazz,121,2021-08-22
S0018,Family threat table,Sonya Garcia,Hip-Hop,304,2024-03-31
S0019,Customer base fish,Sonya Garcia,Hip-Hop,338,2024-12-19
S0020,Society add,Sonya Garcia,Rock,160,2024-12-19
S0021,Religious certainly read,Joshua Carter,EDM,290,2022-04-05
S0022,Leg card,Joshua Carter,Jazz,228,2023-08-11
S0023,Eight can,Joshua Carter,Hip-Hop,246,2021-04-04
S0024,Treat record,Joshua Carter,Rock,355,2024-10-11
S0025,Hour nation small,Joshua Carter,Jazz,214,2023-05-09
S0026,Institution record,Mark Douglas,EDM,284,2025-10-15
S0027,Five theory,Mark Douglas,Pop,246,2024-03-24
S0028,See deal family firm,Mark Douglas,Rock,290,2024-04-11
S0029,Fly light,Mark Douglas,Classical,344,2025-11-23
S0030,Bed base office,Mark Douglas,Jazz,158,2025-01-02
S0031,Work than series,Nicole Miller,Classical,153,2024-09-26
S0032,Health deep,Nicole Miller,Rock,300,2024-12-22
S0033,Have air,Nicole Miller,Pop,176,2022-01-07
S0034,Size by song,Nicole Miller,Classical,236,2021-03-09
S0035,Clearly very team,Nicole Miller,Jazz,326,2021-03-03
S0036,Poor onto garden,April Jimenez,Rock,344,2021-05-05
S0037,Surface,April Jimenez,EDM,154,2021-11-06
S0038,Mind drop account,April Jimenez,Pop,194,2024-04-26
S0039,Easy quite result,April Jimenez,Jazz,349,2024-02-17
S0040,Suffer few analysis,April Jimenez,Hip-Hop,137,2022-10-30
S0041,Couple interesting,Daniel Fox,EDM,257,2025-06-03
S0042,Team that,Daniel Fox,Pop,273,2025-03-06
S0043,Site per cut,Daniel Fox,Rock,162,2023-09-01
S0044,Draw property because,Daniel Fox,Hip-Hop,340,2022-09-21
S0045,Free air,Daniel Fox,Pop,201,2024-03-20
S0046,Happy actually,Melanie Berry,Hip-Hop,193,2025-08-22
S0047,Thought sense,Melanie Berry,Hip-Hop,295,2024-09-11
S0048,Consider order,Melanie Berry,Pop,275,2022-02-09
S0049,Join everybody chair,Melanie Berry,EDM,122,2021-12-28
S0050,Collection international clear,Melanie Berry,Hip-Hop,338,2024-05-14
