stream_id,user_id,song_id,timestamp,duration_listened
S_STR00001,S_U0037,S0027,2026-02-02 18:27:25.755461,205
S_STR00002,S_U0070,S0044,2026-02-11 20:30:05.510789,30
S_STR00003,S_U0047,S0047,2026-02-07 11:19:03.985090,244
S_STR00004,S_U0073,S0014,2026-02-24 23:04:20.144224,37
S_STR00005,S_U0033,S0037,2026-02-06 06:52:07.031156,42
S_STR00006,S_U0091,S0046,2026-02-28 02:31:06.268973,65
S_STR00007,S_U0097,S0042,2026-03-02 03:35:51.721355,142
S_STR00008,S_U0083,S0014,2026-02-09 20:10:23.304336,182
S_STR00009,S_U0070,S0014,2026-02-12 15:45:04.519020,207
S_STR00010,S_U0055,S0043,2026-02-06 17:58:58.596666,27
S_STR00011,S_U0037,S0026,2026-02-27 01:53:27.616477,104
S_STR00012,S_U0015,S0028,2026-02-15 18:33:21.651195,289
S_STR00013,S_U0036,S0046,2026-02-10 10:16:58.395460,154
S_STR00014,S_U0087,S0044,2026-02-13 16:40:05.533461,16
S_STR00015,S_U0067,S0041,2026-02-28 08:03:41.457120,86
S_STR00016,S_U0042,S0046,2026-02-27 11:44:53.076511,134
S_STR00017,S_U0027,S0028,2026-02-07 19:51:51.303194,24
S_STR00018,S_U0087,S0016,2026-02-08 21:40:08.775097,232
S_STR00019,S_U0094,S0045,2026-02-22 21:46:22.812414,64
S_STR00020,S_U0073,S0032,2026-02-08 17:31:08.472211,228
S_STR00021,S_U0043,S0042,2026-02-04 16:15:12.223580,37
S_STR00022,S_U0051,S0043,2026-02-15 14:30:52.119293,59
S_STR00023,S_U0010,S0029,2026-02-09 09:14:18.521969,239
S_STR00024,S_U0036,S0034,2026-03-01 04:22:03.544850,127
S_STR00025,S_U0060,S0048,2026-02-02 21:13:56.349836,112
S_STR00026,S_U0056,S0035,2026-02-01 19:50:20.863356,182
S_STR00027,S_U0028,S0046,2026-02-21 18:20:59.269947,156
S_STR00028,S_U0088,S0022,2026-02-02 01:26:35.945499,34
S_STR00029,S_U0092,S0045,2026-02-03 05:45:40.799338,54
S_STR00030,S_U0077,S0027,2026-02-25 01:38:58.419924,85
S_STR00031,S_U0060,S0039,2026-02-25 06:37:50.486499,60
S_STR00032,S_U0018,S0026,2026-02-12 13:40:23.144828,238
S_STR00033,S_U0028,S0045,2026-02-19 00:51:13.489596,97
S_STR00034,S_U0038,S0031,2026-02-05 19:44:05.015820,127
