song_id,title,artist_id,genre,duration,release_date
S0001,Rate recent,S_A0001,Jazz,120,2023-04-22
S0002,Option stand,S_A0001,EDM,210,2023-12-29
S0003,Note country,S_A0001,Classical,295,2024-01-16
S0004,Soon interest race wonder,S_A0001,EDM,222,2024-05-08
S0005,Science,S_A0001,Rock,340,2021-07-19
S0006,Deal really nothing,S_A0002,Jazz,328,2021-03-13
S0007,To especially fast,S_A0002,Classical,360,2022-01-31
S0008,Bag for,S_A0002,Rock,222,2023-05-23
S0009,Pull alone perform,S_A0002,Rock,145,2022-05-28
S0010,Kind hold,S_A0002,EDM,232,2022-06-01
S0011,Throw easy put,S_A0003,Classical,251,2021-05-29
S0012,Action place,S_A0003,Classical,315,2021-06-24
S0013,Computer fear,S_A0003,Pop,210,2023-03-23
S0014,Research protect body,S_A0003,Hip-Hop,323,2025-06-14
S0015,Almost play,S_A0003,Jazz,344,2022-03-27
S0016,Example thing tough,S_A0004,Pop,135,2021-11-19
S0017,Deep respond green,S_A0004,Classical,242,2022-09-19
S0018,Real could upon,S_A0004,Hip-Hop,192,2024-04-17
S0019,Maintain mean,S_A0004,EDM,244,2023-06-13
S0020,Bad although and,S_A0004,Rock,341,2023-02-12
S0021,Expect form develop heart,S_A0005,EDM,211,2022-07-25
S0022,Develop red,S_A0005,Rock,169,2022-05-18
S0023,Want plant ago sometimes,S_A0005,Jazz,127,2023-05-01
S0024,Newspaper consider cell,S_A0005,Jazz,302,2021-07-29
S0025,Business fill certain,S_A0005,Classical,196,2024-02-17
S0026,Education candidate,S_A0006,Jazz,128,2024-08-09
S0027,Outside,S_A0006,EDM,143,2024-03-31
S0028,Detail find morning,S_A0006,Classical,248,2025-04-07
S0029,And big responsibility,S_A0006,Pop,175,2024-11-13
S0030,List daughter free,S_A0006,Jazz,187,2021-08-07
S0031,Memory however rather,S_A0007,Pop,161,2025-07-22
S0032,Wind contain,S_A0007,EDM,245,2023-12-06
S0033,Long soldier,S_A0007,Rock,293,2023-09-22
S0034,Land truth,S_A0007,Classical,196,2024-05-07
S0035,Son,S_A0007,Classical,345,2024-05-23
S0036,Single official hair,S_A0008,Rock,248,2024-01-16
S0037,Raise wind magazine,S_A0008,EDM,358,2024-11-16
S0038,List school,S_A0008,Hip-Hop,191,2021-09-27
S0039,Case at kid,S_A0008,EDM,318,2022-04-03
S0040,Major short,S_A0008,Classical,341,2021-12-07
S0041,Hair majority economy,S_A0009,Jazz,174,2026-02-21
S0042,Little down,S_A0009,Hip-Hop,345,2022-06-11
S0043,Answer series,S_A0009,Pop,201,2025-10-04
S0044,Evidence program,S_A0009,Classical,319,2026-01-24
S0045,Month message,S_A0009,Hip-Hop,230,2021-11-17
S0046,Level condition,S_A0010,Jazz,262,2023-01-10
S0047,Mr type consumer central,S_A0010,Hip-Hop,237,2021-09-03
S0048,Worry him arm,S_A0010,EDM,231,2024-02-28
S0049,Trip,S_A0010,Classical,250,2021-07-02
S0050,Thing during policy religious,S_A0010,Rock,336,2023-07-03
