stream_id,user_id,song_id,timestamp,duration_listened
S_STR00001,S_U0060,S0022,2026-02-16 03:34:39.727012,142
S_STR00002,S_U0046,S0024,2026-02-13 04:08:16.990893,300
S_STR00003,S_U0091,S0028,2026-02-05 13:15:05.193561,85
S_STR00004,S_U0054,S0032,2026-02-26 00:31:46.876872,62
S_STR00005,S_U0051,S0030,2026-02-19 07:34:34.354339,107
S_STR00006,S_U0044,S0037,2026-02-24 20:08:17.797650,196
S_STR00007,S_U0050,S0024,2026-02-28 09:18:20.170162,275
S_STR00008,S_U0011,S0021,2026-02-21 00:41:15.572997,134
S_STR00009,S_U0085,S0039,2026-02-12 15:08:58.777983,269
S_STR00010,S_U0004,S0047,2026-02-24 05:31:18.107778,237
S_STR00011,S_U0015,S0032,2026-02-25 07:37:02.493095,10
S_STR00012,S_U0055,S0027,2026-03-02 10:34:24.855630,126
S_STR00013,S_U0069,S0042,2026-02-27 08:33:50.477309,246
S_STR00014,S_U0056,S0034,2026-02-18 12:48:35.000719,56
S_STR00015,S_U0083,S0043,2026-02-27 19:09:23.079028,156
S_STR00016,S_U0067,S0045,2026-02-28 21:19:21.947594,117
S_STR00017,S_U0042,S0041,2026-02-12 08:31:24.176585,107
S_STR00018,S_U0072,S0034,2026-02-09 13:07:18.214025,159
S_STR00019,S_U0097,S0047,2026-02-27 23:46:34.125298,179
S_STR00020,S_U0020,S0046,2026-02-08 02:42:18.602995,69
S_STR00021,S_U0028,S0013,2026-02-12 18:39:01.305592,177
S_STR00022,S_U0058,S0041,2026-02-19 23:50:42.068383,12
S_STR00023,S_U0042,S0042,2026-02-25 17:51:45.887832,267
S_STR00024,S_U0069,S0024,2026-02-11 02:54:24.701421,250
S_STR00025,S_U0052,S0026,2026-02-22 14:01:26.478994,41
S_STR00026,S_U0080,S0040,2026-02-22 04:53:48.109955,42
S_STR00027,S_U0031,S0038,2026-02-09 03:17:45.923486,9
S_STR00028,S_U0058,S0016,2026-02-07 08:05:32.363482,49
S_STR00029,S_U0046,S0049,2026-02-13 09:20:22.435059,60
S_STR00030,S_U0079,S0037,2026-02-06 08:02:47.552940,230
S_STR00031,S_U0052,S0049,2026-02-15 19:14:57.761392,14
S_STR00032,S_U0071,S0041,2026-02-23 11:22:45.592069,139
S_STR00033,S_U0006,S0047,2026-02-16 02:22:59.036096,89
S_STR00034,S_U0030,S0032,2026-02-12 01:04:57.957621,51
S_STR00035,S_U0030,S0035,2026-02-11 18:30:56.194016,110
S_STR00036,S_U0090,S0019,2026-02-15 09:16:37.097262,207
S_STR00037,S_U0090,S0050,2026-02-28 06:13:03.595555,69
S_STR00038,S_U0073,S0034,2026-02-04 22:27:05.366457,80
S_STR00039,S_U0039,S0012,2026-02-28 01:00:09.907174,196
S_STR00040,S_U0029,S0021,2026-02-09 14:29:12.108086,79
S_STR00041,S_U0092,S0011,2026-03-05 05:15:20.515029,242
S_STR00042,S_U0077,S0025,2026-02-22 15:06:56.718401,177
S_STR00043,S_U0023,S0045,2026-02-12 20:22:09.418348,198
S_STR00044,S_U0007,S0050,2026-02-20 10:42:48.089059,299
S_STR00045,S_U0083,S0031,2026-02-28 09:41:47.517525,62
S_STR00046,S_U0048,S0045,2026-02-17 17:55:47.566249,193
S_STR00047,S_U0045,S0030,2026-03-03 02:24:33.451586,89
S_STR00048,S_U0054,S0030,2026-02-07 14:49:39.628997,7
S_STR00049,S_U0012,S0028,2026-03-05 21:50:24.916627,225
S_STR00050,S_U0045,S0035,2026-02-14 15:04:40.516697,94
S_STR00051,S_U0090,S0021,2026-02-21 20:07:54.611394,24
S_STR00052,S_U0049,S0042,2026-02-28 06:28:58.355884,276
S_STR00053,S_U0068,S0044,2026-02-18 02:36:16.422620,226
S_STR00054,S_U0049,S0032,2026-02-17 07:36:06.246391,19
S_STR00055,S_U0015,S0040,2026-02-27 23:49:57.089886,68
S_STR00056,S_U0044,S0017,2026-02-17 16:06:42.486784,159
