stream_id,user_id,song_id,timestamp,duration_listened
Y_STR00001,Y_U0022,Y0019,2026-02-20 11:18:22.679560,265
Y_STR00002,Y_U0045,Y0042,2026-02-11 09:50:39.759375,49
Y_STR00003,Y_U0026,Y0042,2026-03-01 14:05:27.776351,34
Y_STR00004,Y_U0029,Y0038,2026-02-24 07:05:13.201503,118
Y_STR00005,Y_U0071,Y0023,2026-02-03 06:39:39.934119,194
Y_STR00006,Y_U0026,Y0021,2026-02-03 01:06:37.372245,72
Y_STR00007,Y_U0033,Y0044,2026-02-21 14:47:06.434834,253
Y_STR00008,Y_U0064,Y0022,2026-02-07 21:27:01.017687,90
Y_STR00009,Y_U0081,Y0042,2026-02-27 15:13:41.901077,220
Y_STR00010,Y_U0056,Y0040,2026-02-22 06:50:53.370862,18
Y_STR00011,Y_U0057,Y0047,2026-03-01 23:22:33.839793,104
Y_STR00012,Y_U0099,Y0036,2026-02-04 01:29:01.236483,336
Y_STR00013,Y_U0079,Y0043,2026-02-15 13:55:24.554585,45
Y_STR00014,Y_U0034,Y0020,2026-02-06 06:00:21.278905,8
Y_STR00015,Y_U0061,Y0027,2026-02-17 01:01:32.828604,165
Y_STR00016,Y_U0089,Y0018,2026-02-21 23:08:50.255842,34
Y_STR00017,Y_U0057,Y0031,2026-02-25 21:40:56.433401,130
Y_STR00018,Y_U0005,Y0032,2026-02-20 19:08:17.995173,260
Y_STR00019,Y_U0065,Y0017,2026-02-25 10:34:04.791292,114
Y_STR00020,Y_U0013,Y0047,2026-02-17 06:15:56.238974,277
Y_STR00021,Y_U0099,Y0044,2026-02-01 21:31:45.929335,287
Y_STR00022,Y_U0028,Y0029,2026-02-16 05:52:03.040108,106
Y_STR00023,Y_U0059,Y0030,2026-02-16 14:11:56.196513,38
Y_STR00024,Y_U0024,Y0042,2026-02-09 17:10:43.374825,143
Y_STR00025,Y_U0048,Y0017,2026-02-26 01:41:43.510817,59
Y_STR00026,Y_U0072,Y0020,2026-02-23 04:02:17.159312,66
Y_STR00027,Y_U0012,Y0047,2026-02-02 13:43:27.598516,239
Y_STR00028,Y_U0042,Y0013,2026-02-02 23:34:51.282922,30
Y_STR00029,Y_U0074,Y0024,2026-02-25 22:18:29.653242,24
Y_STR00030,Y_U0075,Y0044,2026-02-05 11:11:37.493645,262
Y_STR00031,Y_U0063,Y0037,2026-03-01 03:21:59.019277,17
Y_STR00032,Y_U0052,Y0022,2026-02-02 06:20:54.203152,49
Y_STR00033,Y_U0030,Y0029,2026-02-20 19:30:34.550793,198
Y_STR00034,Y_U0002,Y0048,2026-02-03 22:28:11.946951,87
Y_STR00035,Y_U0006,Y0047,2026-02-20 00:46:06.072822,89
Y_STR00036,Y_U0059,Y0039,2026-02-16 20:11:45.719585,252
Y_STR00037,Y_U0098,Y0046,2026-02-05 09:19:05.877727,167
Y_STR00038,Y_U0069,Y0038,2026-03-01 22:22:01.882514,162
Y_STR00039,Y_U0024,Y0047,2026-02-22 11:59:08.375160,249
Y_STR00040,Y_U0069,Y0026,2026-02-19 22:06:40.466722,103
Y_STR00041,Y_U0044,Y0048,2026-03-01 14:01:56.060122,100
Y_STR00042,Y_U0021,Y0019,2026-02-28 06:24:29.242680,271
Y_STR00043,Y_U0002,Y0037,2026-02-02 14:44:39.555389,89
Y_STR00044,Y_U0092,Y0036,2026-03-01 19:47:39.026659,311
Y_STR00045,Y_U0001,Y0035,2026-02-10 09:30:31.775705,36
Y_STR00046,Y_U0011,Y0024,2026-02-28 15:29:53.176513,329
Y_STR00047,Y_U0068,Y0023,2026-02-02 00:10:48.055535,173
Y_STR00048,Y_U0019,Y0045,2026-02-22 20:46:23.779918,33
Y_STR00049,Y_U0060,Y0024,2026-02-12 23:11:42.472975,234
Y_STR00050,Y_U0089,Y0016,2026-02-15 03:55:18.241112,97
Y_STR00051,Y_U0027,Y0046,2026-02-25 19:51:34.343644,65
Y_STR00052,Y_U0079,Y0018,2026-02-21 05:05:12.640256,144
Y_STR00053,Y_U0063,Y0040,2026-02-16 13:14:03.922145,7
Y_STR00054,Y_U0067,Y0042,2026-02-10 15:27:31.059306,142
Y_STR00055,Y_U0067,Y0047,2026-02-17 12:32:09.138551,37
Y_STR00056,Y_U0067,Y0046,2026-02-27 19:27:45.019463,93
Y_STR00057,Y_U0095,Y0028,2026-02-11 20:13:05.756335,86
Y_STR00058,Y_U0096,Y0033,2026-02-14 06:06:04.046159,77
Y_STR00059,Y_U0004,Y0012,2026-03-02 06:10:58.270967,211
Y_STR00060,Y_U0025,Y0041,2026-02-22 14:08:43.066297,94
Y_STR00061,Y_U0079,Y0033,2026-02-01 06:16:16.781695,18
Y_STR00062,Y_U0079,Y0033,2026-02-06 13:11:11.051095,120
Y_STR00063,Y_U0091,Y0012,2026-02-25 23:34:16.167252,116
Y_STR00064,Y_U0070,Y0040,2026-02-11 20:37:06.211336,35
Y_STR00065,Y_U0098,Y0039,2026-02-01 21:40:00.704378,280
Y_STR00066,Y_U0014,Y0025,2026-02-20 16:39:18.621737,166
Y_STR00067,Y_U0029,Y0032,2026-02-04 03:28:32.786994,227
Y_STR00068,Y_U0057,Y0032,2026-02-07 16:38:32.046849,258
Y_STR00069,Y_U0083,Y0010,2026-02-21 04:55:42.479764,153
Y_STR00070,Y_U0058,Y0034,2026-02-17 09:21:24.768103,106
Y_STR00071,Y_U0048,Y0021,2026-02-19 06:30:59.267647,233
Y_STR00072,Y_U0081,Y0019,2026-02-26 02:56:33.287327,184
Y_STR00073,Y_U0030,Y0005,2026-02-27 18:48:53.929130,150
Y_STR00074,Y_U0077,Y0038,2026-02-01 12:56:53.270139,19
Y_STR00075,Y_U0087,Y0038,2026-02-25 10:53:50.786596,167
Y_STR00076,Y_U0084,Y0015,2026-02-04 18:58:03.317214,214
Y_STR00077,Y_U0048,Y0035,2026-02-04 03:33:03.113093,185
Y_STR00078,Y_U0077,Y0035,2026-02-03 08:17:26.871142,105
Y_STR00079,Y_U0027,Y0021,2026-02-07 05:28:22.975650,238
Y_STR00080,Y_U0020,Y0034,2026-02-12 02:36:46.497003,56
Y_STR00081,Y_U0028,Y0046,2026-02-20 22:10:59.100522,109
Y_STR00082,Y_U0085,Y0034,2026-02-15 20:45:01.436081,121
Y_STR00083,Y_U0090,Y0031,2026-02-11 06:15:13.903234,126
Y_STR00084,Y_U0067,Y0023,2026-01-31 18:59:52.762900,196
Y_STR00085,Y_U0075,Y0026,2026-02-21 09:17:58.012268,72
Y_STR00086,Y_U0090,Y0031,2026-02-18 15:41:56.581759,44
Y_STR00087,Y_U0091,Y0035,2026-02-10 19:00:47.173089,23
Y_STR00088,Y_U0006,Y0046,2026-02-17 15:09:10.102106,96
Y_STR00089,Y_U0049,Y0030,2026-02-01 14:35:07.188089,41
Y_STR00090,Y_U0031,Y0041,2026-02-23 09:53:57.304042,118
Y_STR00091,Y_U0086,Y0047,2026-02-19 18:29:22.655352,230
Y_STR00092,Y_U0046,Y0044,2026-02-23 02:26:30.047221,199
Y_STR00093,Y_U0096,Y0044,2026-02-28 10:28:18.300065,146
Y_STR00094,Y_U0048,Y0040,2026-02-27 21:36:10.623393,28
Y_STR00095,Y_U0021,Y0047,2026-02-05 00:51:36.385728,192
Y_STR00096,Y_U0096,Y0046,2026-02-12 18:03:32.619858,175
Y_STR00097,Y_U0021,Y0020,2026-02-28 20:46:45.248829,93
Y_STR00098,Y_U0055,Y0045,2026-02-01 19:13:18.467637,191
Y_STR00099,Y_U0043,Y0017,2026-02-02 08:13:33.185278,121
Y_STR00100,Y_U0062,Y0025,2026-02-16 08:04:54.480304,202
Y_STR00101,Y_U0054,Y0014,2026-02-18 01:52:01.582139,66
Y_STR00102,Y_U0006,Y0005,2026-02-24 12:18:57.557320,50
Y_STR00103,Y_U0047,Y0020,2026-02-23 19:10:10.875711,28
Y_STR00104,Y_U0020,Y0011,2026-02-22 09:24:57.416941,108
Y_STR00105,Y_U0005,Y0045,2026-02-06 02:11:52.981377,12
Y_STR00106,Y_U0052,Y0041,2026-02-20 07:19:09.481403,229
Y_STR00107,Y_U0076,Y0037,2026-02-25 07:13:53.288532,151
Y_STR00108,Y_U0085,Y0035,2026-02-22 11:05:31.420539,163
Y_STR00109,Y_U0089,Y0041,2026-02-02 10:49:55.413200,157
Y_STR00110,Y_U0020,Y0037,2026-02-25 01:48:27.443524,126
Y_STR00111,Y_U0021,Y0035,2026-02-20 10:41:59.586892,74
Y_STR00112,Y_U0078,Y0022,2026-02-28 17:13:17.071124,91
Y_STR00113,Y_U0085,Y0039,2026-02-24 13:49:37.143723,62
Y_STR00114,Y_U0019,Y0049,2026-02-14 11:58:45.138232,115
Y_STR00115,Y_U0003,Y0050,2026-02-17 09:47:58.100457,142
Y_STR00116,Y_U0001,Y0029,2026-02-18 07:41:32.814147,155
Y_STR00117,Y_U0048,Y0035,2026-02-22 16:19:37.450562,225
Y_STR00118,Y_U0039,Y0039,2026-02-09 12:22:31.550750,283
Y_STR00119,Y_U0017,Y0041,2026-02-01 17:16:39.943437,238
