song_id,title,artist_id,genre,duration,release_date
Y0001,Rate recent,Y_A0001,Jazz,120,2023-04-22
Y0002,Option stand,Y_A0001,EDM,210,2023-12-29
Y0003,Note country,Y_A0001,Classical,295,2024-01-16
Y0004,Soon interest race wonder,Y_A0001,EDM,222,2024-05-08
Y0005,Science,Y_A0001,Rock,340,2021-07-19
Y0006,Deal really nothing,Y_A0002,Jazz,328,2021-03-13
Y0007,To especially fast,Y_A0002,Classical,360,2022-01-31
Y0008,Bag for,Y_A0002,Rock,222,2023-05-23
Y0009,Pull alone perform,Y_A0002,Rock,145,2022-05-28
Y0010,Kind hold,Y_A0002,EDM,232,2022-06-01
Y0011,Throw easy put,Y_A0003,Classical,251,2021-05-29
Y0012,Action place,Y_A0003,Classical,315,2021-06-24
Y0013,Computer fear,Y_A0003,Pop,210,2023-03-23
Y0014,Research protect body,Y_A0003,Hip-Hop,323,2025-06-14
Y0015,Almost play,Y_A0003,Jazz,344,2022-03-27
Y0016,Example thing tough,Y_A0004,Pop,135,2021-11-19
Y0017,Deep respond green,Y_A0004,Classical,242,2022-09-19
Y0018,Real could upon,Y_A0004,Hip-Hop,192,2024-04-17
Y0019,Maintain mean,Y_A0004,EDM,244,2023-06-13
Y0020,Bad although and,Y_A0004,Rock,341,2023-02-12
Y0021,Expect form develop heart,Y_A0005,EDM,211,2022-07-25
Y0022,Develop red,Y_A0005,Rock,169,2022-05-18
Y0023,Want plant ago sometimes,Y_A0005,Jazz,127,2023-05-01
Y0024,Newspaper consider cell,Y_A0005,Jazz,302,2021-07-29
Y0025,Business fill certain,Y_A0005,Classical,196,2024-02-17
Y0026,Education candidate,Y_A0006,Jazz,128,2024-08-09
Y0027,Outside,Y_A0006,EDM,143,2024-03-31
Y0028,Detail find morning,Y_A0006,Classical,248,2025-04-07
Y0029,And big responsibility,Y_A0006,Pop,175,2024-11-13
Y0030,List daughter free,Y_A0006,Jazz,187,2021-08-07
Y0031,Memory however rather,Y_A0007,Pop,161,2025-07-22
Y0032,Wind contain,Y_A0007,EDM,245,2023-12-06
Y0033,Long soldier,Y_A0007,Rock,293,2023-09-22
Y0034,Land truth,Y_A0007,Classical,196,2024-05-07
Y0035,Son,Y_A0007,Classical,345,2024-05-23
Y0036,Single official hair,Y_A0008,Rock,248,2024-01-16
Y0037,Raise wind magazine,Y_A0008,EDM,358,2024-11-16
Y0038,List school,Y_A0008,Hip-Hop,191,2021-09-27
Y0039,Case at kid,Y_A0008,EDM,318,2022-04-03
Y0040,Major short,Y_A0008,Classical,341,2021-12-07
Y0041,Hair majority economy,Y_A0009,Jazz,174,2026-02-21
Y0042,Little down,Y_A0009,Hip-Hop,345,2022-06-11
Y0043,Answer series,Y_A0009,Pop,201,2025-10-04
Y0044,Evidence program,Y_A0009,Classical,319,2026-01-24
Y0045,Month message,Y_A0009,Hip-Hop,230,2021-11-17
Y0046,Level condition,Y_A0010,Jazz,262,2023-01-10
Y0047,Mr type consumer central,Y_A0010,Hip-Hop,237,2021-09-03
Y0048,Worry him arm,Y_A0010,EDM,231,2024-02-28
Y0049,Trip,Y_A0010,Classical,250,2021-07-02
Y0050,Thing during policy religious,Y_A0010,Rock,336,2023-07-03
