stream_id,user_id,song_id,timestamp,duration_listened
Y_STR00001,Y_U0073,Y0036,2026-02-04 19:55:42.149541,133
Y_STR00002,Y_U0013,Y0023,2026-02-13 05:46:39.167332,127
Y_STR00003,Y_U0087,Y0035,2026-02-19 07:24:45.994173,300
Y_STR00004,Y_U0096,Y0038,2026-02-18 02:24:47.601347,62
Y_STR00005,Y_U0047,Y0023,2026-02-28 19:52:41.947546,31
Y_STR00006,Y_U0004,Y0048,2026-02-22 18:09:04.300456,128
Y_STR00007,Y_U0072,Y0049,2026-03-05 16:14:39.974269,127
Y_STR00008,Y_U0085,Y0046,2026-02-09 09:02:01.754610,73
Y_STR00009,Y_U0006,Y0028,2026-02-13 10:01:39.465325,190
Y_STR00010,Y_U0012,Y0016,2026-02-21 16:56:05.526785,128
Y_STR00011,Y_U0098,Y0042,2026-03-04 15:07:38.834202,305
Y_STR00012,Y_U0081,Y0041,2026-02-16 20:05:37.830822,139
Y_STR00013,Y_U0040,Y0039,2026-02-21 20:33:32.044569,243
Y_STR00014,Y_U0030,Y0037,2026-02-11 01:46:38.542492,355
Y_STR00015,Y_U0058,Y0035,2026-02-25 06:54:38.253464,222
Y_STR00016,Y_U0005,Y0039,2026-02-15 01:35:23.287173,194
Y_STR00017,Y_U0007,Y0024,2026-02-27 23:02:26.382349,242
Y_STR00018,Y_U0006,Y0049,2026-02-10 16:06:37.883691,189
Y_STR00019,Y_U0055,Y0044,2026-02-28 23:59:12.908724,301
Y_STR00020,Y_U0014,Y0045,2026-02-16 13:32:46.272358,102
Y_STR00021,Y_U0001,Y0050,2026-02-19 20:32:58.363526,275
Y_STR00022,Y_U0098,Y0036,2026-02-23 09:22:08.128628,240
Y_STR00023,Y_U0063,Y0049,2026-02-16 06:20:55.525827,221
Y_STR00024,Y_U0070,Y0022,2026-02-14 05:17:18.199689,137
Y_STR00025,Y_U0099,Y0047,2026-02-08 06:30:47.522034,209
Y_STR00026,Y_U0089,Y0036,2026-02-07 17:59:19.338904,248
Y_STR00027,Y_U0022,Y0046,2026-02-21 21:22:12.720461,14
Y_STR00028,Y_U0100,Y0005,2026-02-11 01:47:28.332821,103
Y_STR00029,Y_U0020,Y0040,2026-02-27 04:09:13.773091,231
Y_STR00030,Y_U0065,Y0047,2026-03-02 05:28:38.429033,81
Y_STR00031,Y_U0048,Y0035,2026-02-24 19:17:41.830417,267
Y_STR00032,Y_U0064,Y0012,2026-02-24 07:08:39.361013,23
Y_STR00033,Y_U0067,Y0044,2026-02-28 14:41:52.343461,271
Y_STR00034,Y_U0045,Y0034,2026-02-18 21:32:17.657036,144
Y_STR00035,Y_U0022,Y0038,2026-02-24 04:22:18.865128,101
Y_STR00036,Y_U0014,Y0043,2026-02-17 14:09:13.931959,157
Y_STR00037,Y_U0090,Y0049,2026-02-19 20:51:21.774449,130
Y_STR00038,Y_U0098,Y0013,2026-02-06 00:30:49.980943,158
Y_STR00039,Y_U0008,Y0049,2026-03-01 21:02:00.645658,140
Y_STR00040,Y_U0036,Y0048,2026-02-10 14:31:16.684994,103
Y_STR00041,Y_U0058,Y0035,2026-02-26 13:41:09.051926,178
Y_STR00042,Y_U0012,Y0045,2026-02-16 14:31:11.015980,30
Y_STR00043,Y_U0038,Y0020,2026-02-26 17:44:24.272110,322
Y_STR00044,Y_U0012,Y0047,2026-02-19 22:29:50.472944,19
Y_STR00045,Y_U0045,Y0035,2026-02-12 08:45:04.592657,274
Y_STR00046,Y_U0065,Y0050,2026-02-13 14:20:20.662606,321
Y_STR00047,Y_U0035,Y0019,2026-02-28 14:43:29.808280,50
Y_STR00048,Y_U0005,Y0050,2026-02-12 23:39:52.297234,291
Y_STR00049,Y_U0012,Y0046,2026-02-25 11:57:22.052227,88
Y_STR00050,Y_U0005,Y0049,2026-02-05 07:53:59.562577,250
Y_STR00051,Y_U0033,Y0029,2026-02-20 16:44:40.592888,141
Y_STR00052,Y_U0094,Y0035,2026-02-08 22:32:59.012082,26
Y_STR00053,Y_U0095,Y0038,2026-03-05 20:48:13.626412,93
Y_STR00054,Y_U0097,Y0005,2026-02-25 07:40:00.167591,335
Y_STR00055,Y_U0018,Y0030,2026-02-23 12:22:38.941659,144
Y_STR00056,Y_U0009,Y0012,2026-03-01 20:25:21.774965,109
Y_STR00057,Y_U0030,Y0050,2026-03-03 13:00:27.991133,286
Y_STR00058,Y_U0002,Y0039,2026-02-12 13:34:51.547269,273
Y_STR00059,Y_U0016,Y0019,2026-02-23 20:40:39.624484,182
Y_STR00060,Y_U0076,Y0042,2026-02-20 02:17:36.007305,333
Y_STR00061,Y_U0039,Y0036,2026-02-06 20:39:18.111490,172
Y_STR00062,Y_U0015,Y0009,2026-02-28 18:19:37.293759,16
Y_STR00063,Y_U0005,Y0045,2026-02-25 14:48:55.347843,187
Y_STR00064,Y_U0011,Y0041,2026-02-27 18:17:02.928316,171
Y_STR00065,Y_U0015,Y0035,2026-02-07 16:31:46.999990,201
